id;premium;other_loading;other_discount;add_on_premium;liability_premium;od_premium;personal_accident_discount;personal_accident;gross_premium;gst;net_premium;last_modified;last_modified_by
1;63779;87350;96567;94943;38513;27960;true;85692;50717;75670;19674;2022-02-13;1080p
2;8810;60040;75290;64526;52045;29371;false;37240;40658;4278;46155;2022-02-12;blue
3;76728;37172;2613;10404;68961;16681;false;55137;49960;65444;17459;2022-02-12;salmon
4;8963;3254;93378;20800;64155;17293;true;90477;61125;88210;72242;2022-02-12;Sleek Soft Sleek
5;55517;828;109;40579;27454;35841;true;59443;32653;83961;63299;2022-02-12;Principal Specialist
6;16899;46977;80066;26728;81839;25969;true;77478;87106;73482;78538;2022-02-13;application override
7;50628;16430;85871;16571;25936;71905;false;62461;85566;88623;73485;2022-02-12;Ports cultivate
8;11536;76413;98576;89412;8087;39807;false;51557;26364;1380;66544;2022-02-13;Frozen optimize payment
9;84838;35133;92288;82632;41094;52477;false;53397;21075;79085;44552;2022-02-13;online
10;65219;69442;24429;67455;49466;49872;false;22120;92187;67642;45095;2022-02-12;Implemented Gloves
