id;details;featurs;activation_date;last_modified;last_modified_by
1;24/365;payment;2021-12-08T14:53:33;2021-12-08T04:18:27;wireless Specialist
2;compelling Nevada Bacon;e-commerce;2021-12-08T09:20:05;2021-12-08T03:24:59;invoice
3;reboot Fresh;Liaison cross-platform Plastic;2021-12-08T00:34:47;2021-12-08T05:08:03;Rubber
4;Specialist Buckinghamshire;Small;2021-12-08T09:06:10;2021-12-08T02:42:37;revolutionize
5;Glens withdrawal payment;Tenge Handmade Oklahoma;2021-12-08T06:04:33;2021-12-08T13:18:03;Plastic
6;synergize;Path Peso application;2021-12-08T02:58:56;2021-12-07T21:04:40;JSON
7;connecting transmitter Outdoors;Director impactful;2021-12-08T10:10:53;2021-12-07T21:17:57;transmitter
8;Radial;calculating;2021-12-08T11:13:58;2021-12-08T01:07:06;port Investment responsive
9;Steel line Unbranded;collaborative;2021-12-07T19:01:49;2021-12-08T01:46:09;UIC-Franc
10;well-modulated;back-end architecture plug-and-play;2021-12-07T23:10:24;2021-12-08T02:16:27;Buckinghamshire
