id;level;access_id;last_modified;last_modified_by
1;CUSTOMER;74074;2021-12-08T04:31:41;override Multi-tiered
2;ADMIN;45443;2021-12-08T03:35:16;Steel reciprocal
3;ADMIN;19111;2021-12-08T02:16:21;Granite Bermudian
4;ADMIN;31290;2021-12-07T23:11:55;synthesizing override state
5;CUSTOMER;91170;2021-12-07T16:06:47;moratorium
6;CUSTOMER;22386;2021-12-07T21:37:52;Trail enable Bike
7;CUSTOMER;11434;2021-12-08T03:49:28;Regional
8;AGENT;30013;2021-12-07T17:53:09;Toys Greece
9;CUSTOMER;39146;2021-12-08T02:55:16;Metal incremental Towels
10;ADMIN;57245;2021-12-08T00:46:57;compress
